,gender,age,state,Household Size,Household Income,income
8645,female,43.0,WP Putrajaya,2 orang,2783.8333,2783.8333
13081,male,30.0,WP Putrajaya,1 orang,3467.5,3467.5
14891,Male,36.0,WP Putrajaya,5 orang,3764.1667,3764.1667
15240,Male,47.0,WP Putrajaya,2 orang,3829.8333,3829.8333
15592,Male,27.0,WP Putrajaya,4 orang,3895.0,3895.0
17578,Male,44.0,WP Putrajaya,6 orang dan lebih,4264.5835,4264.5835
18149,Male,39.0,WP Putrajaya,6 orang dan lebih,4367.9165,4367.9165
19105,Male,37.0,WP Putrajaya,2 orang,4554.6665,4554.6665
19676,Male,39.0,WP Putrajaya,6 orang dan lebih,4676.8335,4676.8335
19762,Male,34.0,WP Putrajaya,5 orang,4694.1665,4694.1665
19776,Male,42.0,WP Putrajaya,6 orang dan lebih,4696.6665,4696.6665
20085,Female,50.0,WP Putrajaya,5 orang,4760.8335,4760.8335
20356,Male,38.0,WP Putrajaya,5 orang,4818.75,4818.75
20379,Male,39.0,WP Putrajaya,4 orang,4824.4165,4824.4165
21209,Male,60.0,WP Putrajaya,1 orang,5011.25,5011.25
21709,Male,43.0,WP Putrajaya,3 orang,5125.5,5125.5
22782,Male,35.0,WP Putrajaya,1 orang,5390.1665,5390.1665
22842,Male,28.0,WP Putrajaya,1 orang,5404.1665,5404.1665
23117,Female,35.0,WP Putrajaya,2 orang,5475.25,3500.8333
23557,Male,39.0,WP Putrajaya,5 orang,5588.0,5588.0
24628,Male,34.0,WP Putrajaya,1 orang,5877.5,5877.5
24961,Female,42.0,WP Putrajaya,4 orang,5975.3335,5975.3335
25518,Male,41.0,WP Putrajaya,3 orang,6139.25,4008.3333
25793,Female,39.0,WP Putrajaya,1 orang,6220.8335,6220.8335
26293,Male,41.0,WP Putrajaya,2 orang,6376.0,4696.8335
26579,Male,73.0,WP Putrajaya,2 orang,6470.8335,6470.8335
26781,Female,42.0,WP Putrajaya,1 orang,6542.0835,6542.0835
26804,Male,38.0,WP Putrajaya,2 orang,6550.5,3954.5833
27337,Male,34.0,WP Putrajaya,5 orang,6762.8335,3584.0
27671,Female,24.0,WP Putrajaya,2 orang,6888.3335,2613.8333
27724,Male,40.0,WP Putrajaya,4 orang,6914.6665,2959.1667
27945,Male,40.0,WP Putrajaya,5 orang,7000.5,4135.5
27952,Female,41.0,WP Putrajaya,2 orang,7002.9165,7002.9165
27962,Male,53.0,WP Putrajaya,4 orang,7006.6665,7006.6665
28153,Male,37.0,WP Putrajaya,4 orang,7083.5,3008.5833
29017,Female,29.0,WP Putrajaya,2 orang,7455.0,4243.3335
29039,Male,50.0,WP Putrajaya,5 orang,7465.9165,2157.6667
29488,Male,40.0,WP Putrajaya,5 orang,7688.6665,3856.6667
29546,Male,33.0,WP Putrajaya,2 orang,7715.4165,4833.5835
30158,Male,37.0,WP Putrajaya,2 orang,8018.4165,4160.0835
30392,Male,39.0,WP Putrajaya,4 orang,8159.8335,2233.0
30403,Female,42.0,WP Putrajaya,3 orang,8165.9165,8165.9165
30446,Male,44.0,WP Putrajaya,1 orang,8187.5,8187.5
30492,Male,38.0,WP Putrajaya,6 orang dan lebih,8207.917,8207.917
30709,Male,43.0,WP Putrajaya,4 orang,8326.833,4279.3335
30943,Female,45.0,WP Putrajaya,1 orang,8456.667,8456.667
31177,Female,46.0,WP Putrajaya,1 orang,8592.5,8592.5
31279,Male,37.0,WP Putrajaya,1 orang,8648.333,8648.333
31573,Male,36.0,WP Putrajaya,3 orang,8839.75,3945.1667
31701,Male,30.0,WP Putrajaya,3 orang,8918.75,5448.75
31785,Male,40.0,WP Putrajaya,2 orang,8976.75,4894.8335
31823,Male,29.0,WP Putrajaya,2 orang,9004.5,5208.0835
31881,Male,39.0,WP Putrajaya,5 orang,9031.667,4667.5
31962,Male,40.0,WP Putrajaya,5 orang,9087.5,2910.0
31991,Male,41.0,WP Putrajaya,3 orang,9111.0,3803.5
32085,Male,36.0,WP Putrajaya,5 orang,9176.667,4954.1665
32100,Male,39.0,WP Putrajaya,6 orang dan lebih,9186.167,4192.5835
32326,Female,26.0,WP Putrajaya,2 orang,9345.333,3398.3333
32328,Male,42.0,WP Putrajaya,5 orang,9346.667,5118.0
32670,Male,39.0,WP Putrajaya,2 orang,9627.0,5706.6665
32984,Male,35.0,WP Putrajaya,4 orang,9884.167,3685.8333
32995,Male,41.0,WP Putrajaya,6 orang dan lebih,9891.5,5924.8335
33188,Female,50.0,WP Putrajaya,5 orang,10039.25,6158.8335
33285,Male,31.0,WP Putrajaya,3 orang,10113.0,4317.5
33317,Male,37.0,WP Putrajaya,4 orang,10140.333,4779.5
33365,Male,55.0,WP Putrajaya,5 orang,10182.75,7062.6665
33519,Male,42.0,WP Putrajaya,5 orang,10325.417,10325.417
33548,Male,35.0,WP Putrajaya,2 orang,10358.75,5265.8335
33622,Male,33.0,WP Putrajaya,3 orang,10433.25,5045.8335
33755,Male,59.0,WP Putrajaya,3 orang,10566.667,10566.667
33864,Female,46.0,WP Putrajaya,2 orang,10681.25,10681.25
33880,Male,45.0,WP Putrajaya,3 orang,10703.833,7733.3335
33896,Male,41.0,WP Putrajaya,1 orang,10720.417,10720.417
34026,Male,59.0,WP Putrajaya,3 orang,10858.583,4528.5
34148,Male,39.0,WP Putrajaya,5 orang,11002.5,5369.1665
34179,Male,43.0,WP Putrajaya,2 orang,11036.417,3391.5
34253,Male,36.0,WP Putrajaya,3 orang,11114.5,4028.8333
34265,Male,40.0,WP Putrajaya,4 orang,11122.667,5492.6665
34306,Male,42.0,WP Putrajaya,4 orang,11163.333,6240.0
34499,Male,47.0,WP Putrajaya,4 orang,11400.25,3605.5833
34560,Male,42.0,WP Putrajaya,6 orang dan lebih,11475.833,7070.8335
34798,Male,35.0,WP Putrajaya,5 orang,11791.833,6521.8335
34947,Female,44.0,WP Putrajaya,4 orang,11996.417,9901.5
34952,Male,40.0,WP Putrajaya,5 orang,12003.25,1833.5834
35151,Male,37.0,WP Putrajaya,4 orang,12251.083,6525.6665
35288,Male,41.0,WP Putrajaya,4 orang,12463.333,3650.4167
35542,Male,36.0,WP Putrajaya,5 orang,12900.0,6978.5835
35635,Male,40.0,WP Putrajaya,5 orang,13066.667,6606.6665
35725,Male,55.0,WP Putrajaya,5 orang,13245.0,13245.0
35794,Male,50.0,WP Putrajaya,2 orang,13364.75,7390.5835
35870,Male,38.0,WP Putrajaya,2 orang,13510.833,8103.25
35987,Male,47.0,WP Putrajaya,6 orang dan lebih,13729.333,4634.1665
36506,Male,36.0,WP Putrajaya,4 orang,15010.917,9027.417
36688,Male,35.0,WP Putrajaya,3 orang,15510.833,9435.0
36824,Male,46.0,WP Putrajaya,3 orang,15932.5,6812.75
36963,Male,34.0,WP Putrajaya,2 orang,16497.209,8461.125
37023,Male,44.0,WP Putrajaya,6 orang dan lebih,16739.166,8090.0
37093,Male,48.0,WP Putrajaya,5 orang,16975.166,7956.1665
37187,Male,41.0,WP Putrajaya,5 orang,17363.334,9915.0
37199,Male,41.0,WP Putrajaya,6 orang dan lebih,17414.916,7840.8335
37344,Male,43.0,WP Putrajaya,6 orang dan lebih,18108.334,10408.333
37541,Male,40.0,WP Putrajaya,5 orang,19119.75,10419.417
37681,Male,41.0,WP Putrajaya,5 orang,20015.334,9816.667
37754,Male,38.0,WP Putrajaya,1 orang,20616.666,20616.666
37969,Male,43.0,WP Putrajaya,6 orang dan lebih,23350.666,18343.666
37974,Male,40.0,WP Putrajaya,6 orang dan lebih,23468.5,14285.75
38015,Male,59.0,WP Putrajaya,2 orang,24299.166,17279.584
38023,Male,42.0,WP Putrajaya,5 orang,24414.084,12754.833
38056,Female,37.0,WP Putrajaya,6 orang dan lebih,25176.334,12545.833
38100,Male,42.0,WP Putrajaya,6 orang dan lebih,25990.75,15109.083
38256,Male,47.0,WP Putrajaya,5 orang,33052.25,21906.084
38262,Male,40.0,WP Putrajaya,1 orang,33233.75,33233.75
38273,Male,48.0,WP Putrajaya,6 orang dan lebih,34142.418,21572.834
38324,Male,45.0,WP Putrajaya,6 orang dan lebih,39004.082,28399.916
38340,Male,62.0,WP Putrajaya,5 orang,44027.832,29666.5
38389,Male,61.0,WP Putrajaya,5 orang,62243.168,30114.166
38392,Male,53.0,WP Putrajaya,6 orang dan lebih,67604.75,51431.418
4968,Male,64.0,WP Labuan,5 orang,2191.6667,808.3333
5283,Male,35.0,WP Labuan,5 orang,2245.0,2245.0
5906,Male,32.0,WP Labuan,6 orang dan lebih,2350.0,2350.0
6329,Male,54.0,WP Labuan,4 orang,2421.5,2421.5
7053,Male,29.0,WP Labuan,2 orang,2542.75,2542.75
7830,Male,63.0,WP Labuan,4 orang,2661.6667,2661.6667
9237,Male,25.0,WP Labuan,1 orang,2878.1667,2878.1667
9241,Male,48.0,WP Labuan,3 orang,2878.4167,2878.4167
9351,Male,35.0,WP Labuan,5 orang,2898.3333,2898.3333
9364,Male,54.0,WP Labuan,4 orang,2900.0,2900.0
10601,Male,31.0,WP Labuan,4 orang,3091.5,3091.5
11185,Female,37.0,WP Labuan,2 orang,3182.0,3182.0
11369,Male,45.0,WP Labuan,4 orang,3209.0,3209.0
11489,Male,54.0,WP Labuan,2 orang,3225.6667,3225.6667
11797,Male,30.0,WP Labuan,5 orang,3272.75,3272.75
11836,Male,46.0,WP Labuan,4 orang,3279.0833,3279.0833
11846,Female,61.0,WP Labuan,1 orang,3280.8333,3280.8333
11968,Male,47.0,WP Labuan,1 orang,3298.75,3298.75
12006,Male,74.0,WP Labuan,2 orang,3304.6667,3304.6667
12211,Female,55.0,WP Labuan,1 orang,3338.6667,3338.6667
12316,Male,24.0,WP Labuan,4 orang,3351.1667,3351.1667
12603,Male,58.0,WP Labuan,3 orang,3391.6667,3391.6667
13254,Male,43.0,WP Labuan,3 orang,3498.375,3498.375
13277,Female,36.0,WP Labuan,3 orang,3502.25,3502.25
13339,Male,28.0,WP Labuan,2 orang,3510.8333,3510.8333
13411,Male,27.0,WP Labuan,3 orang,3520.4167,3520.4167
13422,Male,43.0,WP Labuan,5 orang,3521.5,3521.5
13548,Male,70.0,WP Labuan,2 orang,3542.1667,3542.1667
13708,Male,35.0,WP Labuan,6 orang dan lebih,3567.0833,3567.0833
14146,Male,58.0,WP Labuan,4 orang,3640.75,3640.75
14565,Male,65.0,WP Labuan,1 orang,3707.0833,3707.0833
14612,Male,66.0,WP Labuan,3 orang,3715.5,2519.1667
14666,Male,70.0,WP Labuan,2 orang,3724.3333,3724.3333
15038,Male,72.0,WP Labuan,2 orang,3790.0,3790.0
15202,Male,34.0,WP Labuan,5 orang,3823.0833,3823.0833
15310,Male,32.0,WP Labuan,4 orang,3840.4167,3840.4167
16047,Male,55.0,WP Labuan,3 orang,3984.5,3984.5
16093,Female,47.0,WP Labuan,5 orang,3995.25,3995.25
16167,Male,52.0,WP Labuan,3 orang,4007.0833,4007.0833
16585,Female,61.0,WP Labuan,1 orang,4082.3333,4082.3333
16751,Male,24.0,WP Labuan,2 orang,4108.9165,4108.9165
16898,Male,33.0,WP Labuan,3 orang,4137.5,4137.5
16987,Male,38.0,WP Labuan,3 orang,4153.1665,4153.1665
17120,Male,30.0,WP Labuan,6 orang dan lebih,4178.8335,4178.8335
17468,Male,24.0,WP Labuan,1 orang,4244.5,4244.5
18044,Male,55.0,WP Labuan,5 orang,4352.1665,4352.1665
18546,Male,54.0,WP Labuan,5 orang,4445.9165,4445.9165
18653,Male,56.0,WP Labuan,6 orang dan lebih,4465.6665,4465.6665
19247,Male,58.0,WP Labuan,4 orang,4583.8335,4583.8335
19296,Male,45.0,WP Labuan,5 orang,4592.75,4592.75
19614,Female,64.0,WP Labuan,2 orang,4665.6665,2816.75
19871,Male,41.0,WP Labuan,6 orang dan lebih,4716.1665,4716.1665
19916,Female,40.0,WP Labuan,5 orang,4725.1665,4725.1665
19957,Male,58.0,WP Labuan,1 orang,4733.3335,4733.3335
19968,Male,34.0,WP Labuan,2 orang,4736.4165,4736.4165
20014,Male,39.0,WP Labuan,6 orang dan lebih,4744.9165,4744.9165
20116,Male,35.0,WP Labuan,5 orang,4766.6665,4766.6665
20523,Male,41.0,WP Labuan,5 orang,4855.9165,3844.3333
20610,Male,34.0,WP Labuan,5 orang,4878.4165,2474.4167
20707,Female,64.0,WP Labuan,3 orang,4902.0835,3065.75
20853,Male,44.0,WP Labuan,5 orang,4932.0835,4932.0835
21036,Male,21.0,WP Labuan,4 orang,4974.25,4974.25
21327,Female,58.0,WP Labuan,5 orang,5038.25,3583.3333
21573,Male,43.0,WP Labuan,3 orang,5094.1665,3535.8333
21673,Male,59.0,WP Labuan,3 orang,5114.9165,5114.9165
21871,Male,34.0,WP Labuan,4 orang,5166.3335,5166.3335
22007,Male,50.0,WP Labuan,5 orang,5202.1665,5202.1665
22143,Male,40.0,WP Labuan,6 orang dan lebih,5233.0835,5233.0835
22274,Male,60.0,WP Labuan,2 orang,5268.1665,5268.1665
22499,Male,47.0,WP Labuan,4 orang,5320.0,5320.0
22506,Male,40.0,WP Labuan,3 orang,5322.0835,5322.0835
22537,Male,42.0,WP Labuan,1 orang,5329.0835,5329.0835
22560,Male,37.0,WP Labuan,4 orang,5333.5,5333.5
22605,Male,40.0,WP Labuan,3 orang,5344.75,5344.75
22787,Female,38.0,WP Labuan,1 orang,5391.5,5391.5
22841,Male,31.0,WP Labuan,3 orang,5404.1665,5404.1665
22882,Male,51.0,WP Labuan,6 orang dan lebih,5416.0,5416.0
22934,Female,32.0,WP Labuan,3 orang,5431.0,5431.0
23043,Male,28.0,WP Labuan,6 orang dan lebih,5456.25,2977.5
23066,Male,65.0,WP Labuan,3 orang,5461.75,3407.4167
23139,Male,56.0,WP Labuan,6 orang dan lebih,5479.5835,2804.1667
23158,Male,37.0,WP Labuan,5 orang,5485.0835,5485.0835
23224,Male,39.0,WP Labuan,4 orang,5499.3335,5499.3335
23226,Male,25.0,WP Labuan,5 orang,5499.6665,2832.4167
23490,Male,29.0,WP Labuan,6 orang dan lebih,5569.9165,3811.4167
23522,Male,61.0,WP Labuan,3 orang,5578.1665,2516.6667
23643,Male,42.0,WP Labuan,3 orang,5612.75,5612.75
23954,Male,41.0,WP Labuan,5 orang,5690.1665,5690.1665
23969,Male,30.0,WP Labuan,2 orang,5695.6665,5695.6665
24111,Male,34.0,WP Labuan,4 orang,5738.3335,5738.3335
24347,Male,32.0,WP Labuan,1 orang,5799.0835,5799.0835
24427,Male,28.0,WP Labuan,1 orang,5817.8335,5817.8335
24479,Male,29.0,WP Labuan,3 orang,5834.0,5834.0
24495,Male,46.0,WP Labuan,4 orang,5838.4165,3403.0833
24652,Male,53.0,WP Labuan,6 orang dan lebih,5881.9165,3039.1667
24704,Male,39.0,WP Labuan,2 orang,5900.0,5900.0
25019,Male,50.0,WP Labuan,6 orang dan lebih,5991.375,5991.375
25030,Male,31.0,WP Labuan,3 orang,5994.6665,5994.6665
25065,Male,32.0,WP Labuan,2 orang,6005.1665,6005.1665
25096,Male,28.0,WP Labuan,3 orang,6014.7915,6014.7915
25264,Male,44.0,WP Labuan,4 orang,6068.1665,3628.25
25271,Male,46.0,WP Labuan,6 orang dan lebih,6069.5835,6069.5835
25637,Male,34.0,WP Labuan,3 orang,6169.0,3034.25
25712,Male,38.0,WP Labuan,2 orang,6196.0,3228.1667
25727,Male,31.0,WP Labuan,1 orang,6201.9165,6201.9165
25788,Male,29.0,WP Labuan,3 orang,6219.3335,6219.3335
25818,Male,41.0,WP Labuan,4 orang,6229.8335,6229.8335
25837,Male,46.0,WP Labuan,5 orang,6233.5835,4683.5835
26082,Male,40.0,WP Labuan,5 orang,6308.8335,6308.8335
26349,Female,32.0,WP Labuan,6 orang dan lebih,6390.5,4475.0
26458,Male,55.0,WP Labuan,4 orang,6428.8335,6428.8335
26511,Male,28.0,WP Labuan,4 orang,6445.7085,6445.7085
26545,Male,26.0,WP Labuan,6 orang dan lebih,6458.4165,3968.4167
26696,Male,36.0,WP Labuan,1 orang,6512.5835,6512.5835
26878,Female,32.0,WP Labuan,1 orang,6585.0,6585.0
27153,Female,32.0,WP Labuan,1 orang,6688.1665,6688.1665
27176,Female,51.0,WP Labuan,1 orang,6693.9165,6693.9165
27458,Male,25.0,WP Labuan,3 orang,6808.3335,2337.5
27534,Male,29.0,WP Labuan,3 orang,6835.25,6835.25
27559,Female,25.0,WP Labuan,4 orang,6844.1665,4562.5
27593,Male,41.0,WP Labuan,6 orang dan lebih,6859.75,4324.1665
27698,Male,40.0,WP Labuan,6 orang dan lebih,6904.0835,6904.0835
27707,Male,27.0,WP Labuan,5 orang,6907.0835,2995.4167
27745,Male,20.0,WP Labuan,2 orang,6923.8335,2749.5
27796,Male,31.0,WP Labuan,3 orang,6942.3335,3189.6667
27867,Male,54.0,WP Labuan,6 orang dan lebih,6974.1665,2905.0
27934,Female,45.0,WP Labuan,3 orang,6996.9165,4299.5
27977,Female,42.0,WP Labuan,3 orang,7014.25,7014.25
28061,Female,29.0,WP Labuan,1 orang,7050.8335,7050.8335
28072,Male,48.0,WP Labuan,6 orang dan lebih,7055.0,7055.0
28132,Male,56.0,WP Labuan,6 orang dan lebih,7075.25,7075.25
28215,Male,32.0,WP Labuan,3 orang,7105.6665,4420.8335
28291,Female,37.0,WP Labuan,4 orang,7135.5835,7135.5835
28355,Male,60.0,WP Labuan,3 orang,7158.4165,4718.0
28431,Male,38.0,WP Labuan,4 orang,7189.9165,3008.3333
28535,Male,32.0,WP Labuan,1 orang,7232.8335,7232.8335
28542,Male,32.0,WP Labuan,6 orang dan lebih,7235.6665,5022.3335
28643,Male,39.0,WP Labuan,4 orang,7281.0,7281.0
28827,Female,31.0,WP Labuan,2 orang,7366.1665,4262.0
29010,Male,27.0,WP Labuan,3 orang,7453.1665,2491.3333
29239,Male,37.0,WP Labuan,3 orang,7569.75,4373.0835
29270,Male,47.0,WP Labuan,5 orang,7586.5,4246.3335
29285,Female,46.0,WP Labuan,5 orang,7592.9165,4583.75
29364,Male,37.0,WP Labuan,5 orang,7629.25,2839.8333
29498,Male,54.0,WP Labuan,4 orang,7692.8335,7692.8335
29552,Male,37.0,WP Labuan,6 orang dan lebih,7717.0,7717.0
29654,Male,52.0,WP Labuan,5 orang,7763.25,4828.4165
29749,Male,57.0,WP Labuan,2 orang,7808.3335,6008.3335
29868,Female,40.0,WP Labuan,4 orang,7865.5,6049.4165
29940,Male,46.0,WP Labuan,6 orang dan lebih,7910.5835,3417.3333
29993,Female,26.0,WP Labuan,6 orang dan lebih,7937.0835,5060.3335
30031,Male,38.0,WP Labuan,6 orang dan lebih,7956.6665,7956.6665
30072,Male,28.0,WP Labuan,2 orang,7975.3335,4727.1665
30135,Male,41.0,WP Labuan,6 orang dan lebih,8003.0835,8003.0835
30145,Male,42.0,WP Labuan,6 orang dan lebih,8009.5,8009.5
30234,Male,61.0,WP Labuan,6 orang dan lebih,8060.3335,4244.5835
30245,Male,54.0,WP Labuan,6 orang dan lebih,8066.3335,5235.25
30246,Male,46.0,WP Labuan,3 orang,8066.75,5244.4165
30248,Male,34.0,WP Labuan,2 orang,8068.5,4366.3335
30313,Male,57.0,WP Labuan,6 orang dan lebih,8110.1665,4908.6665
30389,Male,37.0,WP Labuan,5 orang,8156.5835,5519.5
30624,Male,36.0,WP Labuan,5 orang,8283.333,3413.3333
30652,Male,46.0,WP Labuan,4 orang,8298.5,8298.5
30767,Male,30.0,WP Labuan,4 orang,8358.75,8358.75
30789,Male,49.0,WP Labuan,4 orang,8369.167,8369.167
30875,Male,37.0,WP Labuan,4 orang,8425.583,8425.583
30889,Male,60.0,WP Labuan,4 orang,8432.0,2908.3333
31486,Male,42.0,WP Labuan,4 orang,8783.333,4133.4165
31641,Male,53.0,WP Labuan,3 orang,8887.0,5661.6665
31727,Male,32.0,WP Labuan,6 orang dan lebih,8936.75,5746.75
31987,Female,51.0,WP Labuan,2 orang,9109.833,9109.833
32002,Male,63.0,WP Labuan,4 orang,9120.417,3285.9167
32021,Male,40.0,WP Labuan,5 orang,9137.083,9137.083
32295,Female,43.0,WP Labuan,6 orang dan lebih,9328.0,3993.8333
32361,Female,56.0,WP Labuan,5 orang,9376.167,6874.75
32535,Male,27.0,WP Labuan,3 orang,9511.833,6112.8335
32662,Male,36.0,WP Labuan,4 orang,9620.083,9620.083
32845,Male,35.0,WP Labuan,5 orang,9757.25,5170.6665
32908,Male,54.0,WP Labuan,6 orang dan lebih,9803.833,5175.0
32926,Male,44.0,WP Labuan,6 orang dan lebih,9825.667,4748.0
32935,Male,46.0,WP Labuan,6 orang dan lebih,9833.333,9833.333
33203,Male,49.0,WP Labuan,6 orang dan lebih,10051.167,6802.0
33294,Male,42.0,WP Labuan,6 orang dan lebih,10118.583,4331.9165
33456,Female,56.0,WP Labuan,6 orang dan lebih,10258.5,7494.4165
33597,Male,43.0,WP Labuan,2 orang,10399.0,5199.5
33763,Male,59.0,WP Labuan,5 orang,10575.0,5450.0
33871,Female,22.0,WP Labuan,3 orang,10694.0,3506.3333
33912,Male,47.0,WP Labuan,4 orang,10732.333,7219.5
33914,Male,43.0,WP Labuan,3 orang,10734.583,7603.25
33937,Male,60.0,WP Labuan,6 orang dan lebih,10761.333,2120.3333
33985,Male,47.0,WP Labuan,6 orang dan lebih,10812.833,4981.1665
34001,Male,52.0,WP Labuan,6 orang dan lebih,10832.75,5471.5835
34023,Male,49.0,WP Labuan,6 orang dan lebih,10858.25,7634.0835
34116,Male,32.0,WP Labuan,3 orang,10963.167,4838.0
34124,Male,40.0,WP Labuan,6 orang dan lebih,10971.5,8304.833
34209,Male,45.0,WP Labuan,5 orang,11069.167,4993.4165
34289,Female,54.0,WP Labuan,6 orang dan lebih,11145.833,4013.6667
34467,Male,58.0,WP Labuan,6 orang dan lebih,11358.167,3760.3333
34721,Male,40.0,WP Labuan,5 orang,11675.833,11675.833
34781,Male,45.0,WP Labuan,4 orang,11767.417,5219.8335
35029,Male,51.0,WP Labuan,5 orang,12094.833,6669.5
35143,Male,47.0,WP Labuan,6 orang dan lebih,12240.667,5284.3335
35227,Male,50.0,WP Labuan,5 orang,12378.75,4805.9165
35292,Male,38.0,WP Labuan,3 orang,12470.5,12470.5
35304,Female,48.0,WP Labuan,4 orang,12489.0,12489.0
35406,Male,42.0,WP Labuan,6 orang dan lebih,12637.667,6280.0
35472,Male,67.0,WP Labuan,3 orang,12774.0,9588.5
35481,Male,57.0,WP Labuan,4 orang,12785.25,6077.0
35498,Male,48.0,WP Labuan,5 orang,12820.833,12820.833
35540,Male,57.0,WP Labuan,3 orang,12894.417,12894.417
35541,Female,34.0,WP Labuan,4 orang,12899.417,2500.25
35579,Male,36.0,WP Labuan,5 orang,12950.5,10352.917
35617,Male,59.0,WP Labuan,4 orang,13030.417,6435.8335
35882,Male,61.0,WP Labuan,5 orang,13536.167,4595.8335
35939,Male,51.0,WP Labuan,6 orang dan lebih,13641.667,10756.75
35991,Male,41.0,WP Labuan,5 orang,13736.583,4501.0
36020,Male,63.0,WP Labuan,6 orang dan lebih,13800.75,5339.6665
36021,Male,35.0,WP Labuan,4 orang,13800.917,10334.833
36304,Male,33.0,WP Labuan,3 orang,14491.333,8733.0
36307,Female,45.0,WP Labuan,4 orang,14500.0,11966.667
36530,Male,37.0,WP Labuan,4 orang,15057.917,9789.0
36632,Male,41.0,WP Labuan,5 orang,15348.333,9037.333
36695,Male,45.0,WP Labuan,4 orang,15515.75,8791.667
36905,Male,63.0,WP Labuan,5 orang,16268.333,8483.333
37227,Male,59.0,WP Labuan,4 orang,17550.75,7377.0835
37560,Female,31.0,WP Labuan,4 orang,19215.334,4718.8335
37624,Male,41.0,WP Labuan,6 orang dan lebih,19642.75,7710.0
37642,Male,57.0,WP Labuan,6 orang dan lebih,19735.916,8182.1665
37740,Male,47.0,WP Labuan,6 orang dan lebih,20487.5,11219.083
37786,Male,36.0,WP Labuan,4 orang,20929.75,15438.083
37954,Male,60.0,WP Labuan,4 orang,23096.75,20297.334
38053,Male,51.0,WP Labuan,6 orang dan lebih,25169.416,6673.5
38114,Male,40.0,WP Labuan,4 orang,26353.334,12921.5
38155,Male,32.0,WP Labuan,4 orang,27589.084,10657.167
38166,Male,37.0,WP Labuan,1 orang,27991.084,27991.084
38205,Male,45.0,WP Labuan,5 orang,29667.334,22708.5
38395,Male,61.0,WP Labuan,5 orang,69828.664,39031.082
1966,Male,58.0,WP Kuala Lumpur,2 orang,1612.75,1612.75
2444,Female,76.0,WP Kuala Lumpur,1 orang,1717.6666,1717.6666
3029,Male,58.0,WP Kuala Lumpur,2 orang,1836.1666,429.16666
3328,Male,74.0,WP Kuala Lumpur,1 orang,1897.0834,1897.0834
3857,Female,54.0,WP Kuala Lumpur,1 orang,2000.0,2000.0
4267,Male,62.0,WP Kuala Lumpur,2 orang,2077.6667,2077.6667
4885,Male,56.0,WP Kuala Lumpur,1 orang,2179.1667,2179.1667
4971,Female,64.0,WP Kuala Lumpur,3 orang,2191.6667,2191.6667
5391,Female,71.0,WP Kuala Lumpur,2 orang,2263.5,2263.5
5877,Male,47.0,WP Kuala Lumpur,2 orang,2344.9583,2344.9583
6735,Female,39.0,WP Kuala Lumpur,3 orang,2489.3333,2489.3333
6956,Female,51.0,WP Kuala Lumpur,6 orang dan lebih,2526.0,1776.0
7510,Male,30.0,WP Kuala Lumpur,3 orang,2611.5,2611.5
7809,Male,61.0,WP Kuala Lumpur,2 orang,2657.9167,2657.9167
8989,Male,42.0,WP Kuala Lumpur,5 orang,2837.75,2837.75
9012,Female,70.0,WP Kuala Lumpur,3 orang,2841.6667,1725.0
9160,Female,73.0,WP Kuala Lumpur,1 orang,2866.6667,2866.6667
9245,Female,66.0,WP Kuala Lumpur,2 orang,2878.9167,2446.9167
9638,Female,81.0,WP Kuala Lumpur,1 orang,2944.5,2944.5
9728,Male,80.0,WP Kuala Lumpur,2 orang,2958.3333,2958.3333
10357,Male,70.0,WP Kuala Lumpur,2 orang,3057.6667,3057.6667
10609,Female,43.0,WP Kuala Lumpur,4 orang,3092.4167,3092.4167
10830,Male,22.0,WP Kuala Lumpur,3 orang,3128.3333,1121.6666
11230,Male,76.0,WP Kuala Lumpur,2 orang,3188.0833,3188.0833
11961,Male,60.0,WP Kuala Lumpur,2 orang,3297.3333,1786.1666
11975,Female,28.0,WP Kuala Lumpur,2 orang,3299.5,3299.5
12068,Male,43.0,WP Kuala Lumpur,1 orang,3312.5,3312.5
12153,Male,76.0,WP Kuala Lumpur,3 orang,3326.0,3046.8333
12395,Female,45.0,WP Kuala Lumpur,4 orang,3362.5,3362.5
12509,Male,37.0,WP Kuala Lumpur,5 orang,3377.8333,3377.8333
12814,Female,25.0,WP Kuala Lumpur,1 orang,3425.0,3425.0
13263,Female,55.0,WP Kuala Lumpur,3 orang,3500.0,3500.0
13332,Female,71.0,WP Kuala Lumpur,1 orang,3510.0,3510.0
13742,Male,72.0,WP Kuala Lumpur,3 orang,3571.6667,3571.6667
13865,Male,32.0,WP Kuala Lumpur,4 orang,3589.8333,3589.8333
13938,Male,38.0,WP Kuala Lumpur,3 orang,3604.3333,3604.3333
14068,Male,58.0,WP Kuala Lumpur,4 orang,3626.0,3626.0
14226,Female,62.0,WP Kuala Lumpur,1 orang,3653.5833,3653.5833
14837,Male,28.0,WP Kuala Lumpur,3 orang,3754.0,3754.0
15236,Female,59.0,WP Kuala Lumpur,1 orang,3829.1667,3829.1667
15352,Male,28.0,WP Kuala Lumpur,2 orang,3849.1667,2765.8333
15685,Male,27.0,WP Kuala Lumpur,4 orang,3912.5,3912.5
15735,Female,71.0,WP Kuala Lumpur,2 orang,3921.8333,3921.8333
15782,Male,50.0,WP Kuala Lumpur,6 orang dan lebih,3931.3333,3931.3333
