,gender,age,state,Household Size,Household Income,income
21230,Male,50.0,Sarawak,6 orang dan lebih,5016.6665,5016.6665
21233,Male,20.0,Sarawak,6 orang dan lebih,5017.0835,1755.8334
21236,Male,56.0,Sarawak,4 orang,5017.25,3132.25
21238,Male,43.0,Sarawak,6 orang dan lebih,5018.0,5018.0
21242,Female,68.0,Sarawak,2 orang,5019.5,3652.8333
21243,Female,34.0,Sarawak,1 orang,5019.5835,5019.5835
21244,Male,36.0,Sarawak,2 orang,5019.6665,5019.6665
21245,Male,66.0,Sarawak,6 orang dan lebih,5019.75,2496.8333
21249,Male,46.0,Sarawak,1 orang,5020.0,5020.0
21252,Male,71.0,Sarawak,6 orang dan lebih,5021.0,2628.3333
21255,Male,46.0,Sarawak,6 orang dan lebih,5021.6665,5021.6665
21259,Male,48.0,Sarawak,4 orang,5023.3335,5023.3335
21260,Female,29.0,Sarawak,1 orang,5023.5,5023.5
21264,Male,35.0,Sarawak,4 orang,5024.25,3148.25
21272,Male,44.0,Sarawak,1 orang,5025.8335,5025.8335
21273,Male,52.0,Sarawak,5 orang,5025.875,2481.625
21281,Male,61.0,Sarawak,2 orang,5028.3335,5028.3335
21283,Male,40.0,Sarawak,2 orang,5028.5835,5028.5835
21285,Male,66.0,Sarawak,1 orang,5029.0,5029.0
21291,Male,19.0,Sarawak,2 orang,5029.9165,3471.5833
21295,Male,52.0,Sarawak,6 orang dan lebih,5031.5,2290.75
21298,Male,50.0,Sarawak,3 orang,5032.5,5032.5
21301,Male,27.0,Sarawak,4 orang,5033.1665,3099.5833
21304,Male,52.0,Sarawak,2 orang,5034.25,5034.25
21306,Female,57.0,Sarawak,5 orang,5034.5,2258.1667
21313,Male,30.0,Sarawak,5 orang,5036.0,5036.0
21320,Female,29.0,Sarawak,2 orang,5037.25,5037.25
21324,Male,37.0,Sarawak,6 orang dan lebih,5037.9165,2924.0
21328,Male,35.0,Sarawak,3 orang,5038.6665,4424.1665
21336,Female,45.0,Sarawak,1 orang,5040.6665,5040.6665
21339,Male,36.0,Sarawak,4 orang,5040.9165,3222.25
21344,Male,56.0,Sarawak,3 orang,5041.8335,3750.8333
21345,Male,35.0,Sarawak,3 orang,5042.1665,5042.1665
21346,Female,65.0,Sarawak,3 orang,5042.3335,5042.3335
21348,Male,42.0,Sarawak,6 orang dan lebih,5043.4165,2070.0833
21351,Female,36.0,Sarawak,1 orang,5044.0835,5044.0835
21357,Female,26.0,Sarawak,2 orang,5045.5,5045.5
21358,Male,32.0,Sarawak,1 orang,5045.8335,5045.8335
21360,Male,46.0,Sarawak,2 orang,5045.8335,5045.8335
21370,Male,54.0,Sarawak,6 orang dan lebih,5047.5835,3346.5833
21374,Male,51.0,Sarawak,4 orang,5049.25,5049.25
21375,Male,40.0,Sarawak,6 orang dan lebih,5049.5,2139.9167
21376,Male,28.0,Sarawak,1 orang,5049.8335,5049.8335
21378,Male,58.0,Sarawak,3 orang,5050.0,2025.3334
21383,Male,64.0,Sarawak,4 orang,5050.5,5050.5
21384,Male,28.0,Sarawak,6 orang dan lebih,5050.75,4130.5
21394,Male,27.0,Sarawak,2 orang,5052.75,2981.0
21395,Male,44.0,Sarawak,3 orang,5052.8335,3014.25
21396,Female,34.0,Sarawak,5 orang,5052.9165,5052.9165
21399,Male,56.0,Sarawak,6 orang dan lebih,5054.0835,2148.5
21405,Male,37.0,Sarawak,6 orang dan lebih,5055.0,5055.0
21411,Female,62.0,Sarawak,3 orang,5055.75,2582.0833
21413,Male,39.0,Sarawak,5 orang,5056.1665,2657.3333
21414,Female,51.0,Sarawak,4 orang,5056.4165,5056.4165
21419,Male,32.0,Sarawak,1 orang,5057.5835,5057.5835
21426,Male,45.0,Sarawak,2 orang,5060.1665,3127.9167
21428,Female,38.0,Sarawak,4 orang,5060.8335,5060.8335
21430,Male,46.0,Sarawak,3 orang,5061.3335,5061.3335
21431,Male,49.0,Sarawak,6 orang dan lebih,5061.5,3065.6667
21438,Male,32.0,Sarawak,2 orang,5064.1665,3836.6667
21442,Male,35.0,Sarawak,1 orang,5065.0,5065.0
21443,Male,64.0,Sarawak,4 orang,5065.25,1300.4166
21452,Male,39.0,Sarawak,6 orang dan lebih,5067.6665,4303.0835
21454,Male,27.0,Sarawak,4 orang,5069.0835,2420.0833
21455,Male,40.0,Sarawak,3 orang,5069.9165,5069.9165
21460,Male,60.0,Sarawak,4 orang,5070.8335,3027.1667
21464,Male,35.0,Sarawak,2 orang,5071.0835,5071.0835
21474,Male,64.0,Sarawak,4 orang,5074.1665,1194.1666
21476,Male,46.0,Sarawak,6 orang dan lebih,5074.5,5074.5
21482,Male,38.0,Sarawak,6 orang dan lebih,5075.0835,5075.0835
21485,Male,36.0,Sarawak,1 orang,5075.5,5075.5
21490,Male,38.0,Sarawak,5 orang,5076.5835,5076.5835
21491,Male,64.0,Sarawak,5 orang,5076.5835,5076.5835
21497,Male,32.0,Sarawak,2 orang,5077.8335,3431.6667
21500,Female,32.0,Sarawak,1 orang,5078.25,5078.25
21503,Male,50.0,Sarawak,5 orang,5079.1665,5079.1665
21507,Male,31.0,Sarawak,6 orang dan lebih,5079.4165,2883.75
21509,Male,28.0,Sarawak,2 orang,5079.8335,1906.75
21512,Male,51.0,Sarawak,6 orang dan lebih,5080.0,2909.1667
21514,Female,27.0,Sarawak,4 orang,5081.25,3881.25
21520,Male,47.0,Sarawak,1 orang,5082.75,5082.75
21523,Male,27.0,Sarawak,2 orang,5083.0,3117.4167
21526,Female,30.0,Sarawak,1 orang,5083.3335,5083.3335
21530,Male,33.0,Sarawak,1 orang,5084.0,5084.0
21531,Male,46.0,Sarawak,5 orang,5084.1665,1165.6666
21535,Male,43.0,Sarawak,6 orang dan lebih,5084.5,3036.9167
21541,Male,45.0,Sarawak,3 orang,5085.5835,3209.25
21542,Female,40.0,Sarawak,6 orang dan lebih,5085.75,3092.8333
21550,Male,69.0,Sarawak,3 orang,5087.75,5087.75
21551,Male,57.0,Sarawak,1 orang,5088.1665,5088.1665
21553,Male,49.0,Sarawak,4 orang,5088.75,5088.75
21554,Female,49.0,Sarawak,6 orang dan lebih,5088.9165,3338.6667
21564,Male,53.0,Sarawak,6 orang dan lebih,5092.0835,5092.0835
21566,Male,52.0,Sarawak,5 orang,5092.3335,1550.6666
21574,Male,32.0,Sarawak,5 orang,5094.4585,3420.5417
21577,Male,55.0,Sarawak,4 orang,5094.75,2385.3333
21578,Male,83.0,Sarawak,2 orang,5094.75,4965.0
21584,Male,44.0,Sarawak,6 orang dan lebih,5097.25,3399.9167
21588,Male,52.0,Sarawak,6 orang dan lebih,5098.5,2952.6667
21595,Male,57.0,Sarawak,4 orang,5099.0835,3245.3333
21599,Male,56.0,Sarawak,5 orang,5099.6665,2750.4167
21602,Male,47.0,Sarawak,5 orang,5100.25,3278.0833
21604,Male,40.0,Sarawak,6 orang dan lebih,5100.75,5100.75
21611,Male,49.0,Sarawak,4 orang,5101.5835,4306.5835
21612,Male,34.0,Sarawak,1 orang,5101.8335,5101.8335
21613,Male,46.0,Sarawak,1 orang,5101.9165,5101.9165
21614,Male,24.0,Sarawak,4 orang,5102.3335,2476.9167
21615,Male,33.0,Sarawak,2 orang,5102.3335,5102.3335
21627,Male,58.0,Sarawak,5 orang,5104.3335,3305.0
21635,Female,50.0,Sarawak,4 orang,5106.5835,1715.25
21639,Female,21.0,Sarawak,4 orang,5107.3335,3207.8333
21643,Female,25.0,Sarawak,6 orang dan lebih,5107.9165,2214.5833
21654,Male,52.0,Sarawak,4 orang,5110.25,5110.25
21655,Female,35.0,Sarawak,4 orang,5110.25,5110.25
21656,Male,49.0,Sarawak,2 orang,5110.3335,2693.5
21657,Male,53.0,Sarawak,4 orang,5110.5835,3193.0833
21662,Male,41.0,Sarawak,6 orang dan lebih,5112.0,3615.0
21672,Female,42.0,Sarawak,6 orang dan lebih,5114.8335,3280.3333
21676,Male,54.0,Sarawak,5 orang,5115.0,1749.0834
21685,Male,88.0,Sarawak,3 orang,5118.5,2706.4167
21686,Male,44.0,Sarawak,4 orang,5120.0,5120.0
21698,Male,30.0,Sarawak,3 orang,5122.8335,5122.8335
21703,Male,54.0,Sarawak,6 orang dan lebih,5124.25,5124.25
21705,Male,52.0,Sarawak,6 orang dan lebih,5124.8335,2275.0
21706,Male,61.0,Sarawak,4 orang,5124.9165,2747.8333
